Date and time,Wind speed (m/s),Rotor speed (RPM),Pitch angle (°),Nacelle position (°),Wind direction (°),Nacelle ambient temperature (°C),Power (kW),Yaw error (°)
2019-07-04 01:50:00,5.371715927,9.502402917,0.0,51.04895782,44.83802206,7.199999809,257.237915,-6.210935759999984
2019-07-04 02:00:00,5.52131114,10.19270021,0.0,51.04895782,44.51986543,7.13249979,337.4915306,-6.529092389999988
2019-07-04 02:10:00,5.273668838,9.527368963,0.0,51.04895782,46.24681,7.192499781,258.4639236,-4.802147819999988
2019-07-04 02:20:00,5.170405602,9.581986651,0.0,51.04895782,44.66390173,7.204999828,263.8334198,-6.385056090000006
2019-07-04 02:30:00,4.892450798,9.101689026,0.0,51.04895782,44.39714038,7.284999943,218.1394913,-6.651817440000002
2019-07-04 02:40:00,4.285364234,8.408622175,0.147498199,51.04895782,45.68975395,7.3950001,138.5832165,-5.3592038699999875
2019-07-04 02:50:00,3.906819177,8.147826031,0.146999501,51.04895782,49.38402313,7.407500052,107.3939251,-1.6649346899999955
2019-07-04 03:00:00,4.483240366,8.652416736,0.0,51.04895782,51.49418681,7.402500081,173.5601322,0.44522899000000393
2019-07-04 03:10:00,4.323435807,8.350946724,0.020999839,51.04895782,51.45844897,7.4875,146.2592171,0.409491150000008
2019-07-04 03:20:00,4.602318835,8.488406226,0.0,51.04895782,44.67738951,7.5,166.4267406,-6.3715683099999865
2019-07-04 03:30:00,4.930365642,8.983989706,0.0,51.04895782,43.39260775,7.5,212.1057248,-7.656350070000002
2019-07-04 03:40:00,5.047362666,9.000780746,0.0,51.04895782,47.07194213,7.657894586,210.7494709,-3.9770156900000018
2019-07-04 03:50:00,4.3222664,8.169157907,0.073499468,51.04895782,45.45461895,7.609999895,118.423653,-5.594338870000001
2019-07-04 04:00:00,4.708013737,8.635420109,0.0,51.04895782,41.15423908,7.504999995,177.3864899,-9.894718740000002
2019-07-04 04:10:00,5.443998265,9.626067236,0.0,51.04895782,45.08727113,7.442499971,269.3213692,-5.961686689999993
2019-07-04 04:20:00,5.948879766,10.70539248,0.0,51.04895782,45.78460075,7.457499981,388.8547668,-5.264357069999988
2019-07-04 04:30:00,5.621381545,10.40270501,0.0,51.04895782,47.5220723,7.714999866,353.007682,-3.5268855200000075
2019-07-04 04:40:00,4.82800169,8.960937291,0.024499745,51.04895782,49.69589258,7.775000095,202.3676868,-1.3530652400000065
2019-07-04 04:50:00,4.452315295,8.414066657,0.097999428,51.04895782,42.30078248,7.795000172,147.2889145,-8.748175339999989
2019-07-04 05:00:00,5.484538794,9.798439801,0.0,51.04895782,43.89587233,7.707499838,290.4145973,-7.153085489999995
2019-07-04 05:10:00,5.431004667,9.877868682,0.0,51.04895782,40.64508941,7.694999814,294.6321716,-10.403868410000001
2019-07-04 05:20:00,4.3227862,8.906495824,0.024499745,51.04895782,40.62693752,7.74749999,195.5971634,-10.422020299999986
2019-07-04 05:30:00,3.630033672,8.326210901,0.320497815,51.04895782,36.54330411,7.755000019,115.8765601,-14.50565370999999
2019-07-04 05:40:00,3.949967108,8.5441778,0.196497527,51.04895782,42.19107601,7.742105233,147.5263153,-8.85788180999998
2019-07-04 05:50:00,4.997665048,9.440750988,0.028823238,51.04895782,41.50996917,7.702777598,252.8272256,-9.538988649999993
2019-07-04 06:00:00,5.148310121,9.590977252,0.0,51.04895782,37.8035933,7.726666578,266.1517024,-13.24536452000001
2019-07-04 06:10:00,5.034045446,9.369480953,0.0,51.04895782,45.0634149,7.712499857,245.1394833,-5.98554292
2019-07-04 06:20:00,5.78610518,10.49757425,0.0,51.04895782,43.09583352,7.654999852,364.7464867,-7.953124300000013
2019-07-04 06:30:00,5.397629237,10.02580436,0.0,51.04895782,43.31440432,7.654999852,311.1594765,-7.734553500000004
2019-07-04 06:40:00,5.414242649,9.966232583,0.0,51.04895782,43.40816146,7.714999866,307.9198601,-7.640796359999996
2019-07-04 06:50:00,5.022778046,9.496791556,0.024499745,51.04895782,41.48576181,7.792500162,256.398674,-9.563196010000013
2019-07-04 07:00:00,5.317754674,9.919695765,0.0,51.04895782,39.70964462,7.855000186,299.0722893,-11.339313199999992
2019-07-04 07:10:00,5.62754432,10.5414425,0.0,51.04895782,43.5703315,7.955000138,374.4947296,-7.478626319999989
2019-07-04 07:20:00,7.205969262,12.96779238,0.0,51.04895782,45.09626226,7.840000176,739.5426025,-5.952695559999995
2019-07-04 07:30:00,6.52706449,12.38063291,0.0,51.04895782,46.66311902,7.855000162,640.6345657,-4.385838799999988
2019-07-04 07:40:00,6.169235134,11.1158461,0.0,51.04895782,46.76215667,7.925000095,446.1535637,-4.286801150000002
2019-07-04 07:50:00,6.618633294,12.04654348,0.0,51.04895782,44.24936006,7.900000143,595.2110825,-6.799597759999983
2019-07-04 08:00:00,6.31426394,11.63577738,0.0,51.04895782,42.10647642,7.837500191,520.9789902,-8.942481399999991
2019-07-04 08:10:00,4.942569494,9.669455409,0.0,51.04895782,38.66340695,8.050000238,274.4331139,-12.385550870000003
2019-07-04 08:20:00,5.837189186,10.47823986,0.0,51.04895782,40.27635656,8.127500153,376.8128822,-10.772601259999988
2019-07-04 08:30:00,5.422317338,9.932053909,0.0,51.04895782,42.12794936,8.132500172,303.5400383,-8.921008459999996
2019-07-04 08:40:00,6.455821681,11.48692672,0.0,51.04895782,48.2710021,8.137500143,507.250132,-2.7779557199999942
2019-07-04 08:50:00,4.848123515,9.637302741,0.0,51.04895782,41.8125243,8.259999704,271.7574364,-9.236433519999991
2019-07-04 09:00:00,4.251933146,8.655751526,0.296990587,51.04895782,39.4010562,8.439999771,155.2732074,-11.647901619999999
2019-07-04 09:10:00,5.202964258,9.832307965,0.0,51.04895782,38.00758904,8.37749958,293.9487167,-13.041368779999999
2019-07-04 09:20:00,4.674415743,9.047035396,0.073499468,51.04895782,40.92830933,8.402499628,203.7490093,-10.120648490000008
2019-07-04 09:30:00,4.30981096,8.62859112,0.131999206,51.04895782,38.30274052,8.479999924,161.5731766,-12.746217300000012
2019-07-04 09:40:00,4.344931281,8.850475788,0.0,51.04895782,35.33159433,8.600000286,190.4240074,-15.717363489999997
2019-07-04 09:50:00,5.230510974,9.956833452,0.024499745,51.04895782,38.98076892,8.532500124,307.8509945,-12.068188899999996
2019-07-04 10:00:00,5.459572244,10.27558319,0.0,51.04895782,44.80048934,8.5,344.0422005,-6.2484684799999854
2019-07-04 10:10:00,5.018285906,9.628470406,0.0,51.04895782,40.39184049,8.507500029,278.0969032,-10.657117330000005
2019-07-04 10:20:00,4.643768847,9.15607591,0.0,51.04895782,39.701205,8.5,225.2306549,-11.347752819999982
2019-07-04 10:30:00,5.098865736,9.682462737,0.0,51.04895782,44.92460446,8.510000038,273.791333,-6.124353359999986
2019-07-04 10:40:00,4.266369882,8.545403615,0.128946822,51.04895782,37.96714275,8.721052923,155.962067,-13.081815070000005
2019-07-04 10:50:00,4.604620612,9.226028935,0.024499745,51.04895782,41.60142168,8.84749999,222.3885166,-9.447536140000011
2019-07-04 11:00:00,3.876098239,8.328103602,0.173497192,51.04895782,32.03129231,9.105000019,126.5031138,-19.01766551
2019-07-04 11:10:00,4.466331061,8.758799819,0.115880112,51.04895782,40.5096742,8.935293871,174.1599274,-10.539283619999992
2019-07-04 11:20:00,4.997440243,9.36397706,0.024499745,51.04895782,39.6083924,8.927499723,243.2037807,-11.440565419999984
2019-07-04 11:30:00,3.644549561,8.301961988,0.32349467,51.04895782,30.57260746,9.437499952,110.5850052,-20.476350359999998
2019-07-04 11:40:00,5.270383239,9.632227466,0.0,51.04895782,37.4836938,9.442500114,270.5527832,-13.56526402
2019-07-04 11:50:00,4.335427213,8.716572315,0.271990526,51.04895782,37.88162576,9.557500029,162.1510139,-13.167332060000007
